,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
GAMEPLAY_SCREENSHAKE,SCREEN SHAKE AMOUNT,TREMIDA DE TELA,FRESCURINHA DA TELA KKK,ТРЯСКА ЭКРАНА,がめんの ゆれ,Bild-Rütteln,VIBRATION DE L'ECRAN,Cantidad de vibración de la pantalla,Kvalita obrazu,화면 흔들림 정도,HOEVEELHEID SCHERMBEWEGING,MOVIMENTO SCHERMO,螢幕搖晃度,屏幕摇晃幅度,Kuat Getaran pada Layar,Wartość wstrząsów ekranu,KÉPERNYŐ REZGÉSÉNEK ERŐSSÉGE,การสั่นไหวของหน้าจอ,NIVÅ PÅ SKJERM RISTING,Skærm-rysting,Zgâlţâire ecran,Sea Sick?,רעידת מסך,SKÄRMSKAKNINGS MÄNGD,ΤΡΑΝΤΑΓΜΑ ΟΘΟΝΗΣ,Rung màn hình,EKRAN SALLANMA MİKTARI,مقدار اهتزاز الشاشة,QUANTIDADE DE TREMURA,NÄYTÖN RAVISTAMISEN MÄÄRÄ,тръскане на екрана,
GAMEPLAY_VIBRATION,CONTROLLER VIBRATION,VIBRAÇÃO DE CONTROLE,VIBRADOR,ВИБРАЦИЯ ГЕЙМПАДА,コントローラー しんどう,Controller-Vibration,VIBRATION DE LA MANETTE,Vibración del mando,Vibrace ovladače,컨트롤러 진동,CONTROLLER VIBRATIE,VIBRAZIONE CONTROLLER,控制器 震動,手柄震动,Getaran Controller,Wibracje kontrolera,CONTROLLER REZGÉS,การสั่นไหวขอจอยสติ็ก,VIBRASJON,Controller vibration,Vibraţii controller,Vibrator,רטט שלט,KONTROLL VIBRATION,ΔΟΝΗΣΗ ΧΕΙΡΙΣΤΗΡΙΟΥ,Tay cầm điều khiển - chế độ rung,KONTROLCÜ TİTREŞİMİ,اهتزاز يد التحكم,VIBRAÇÃO DO COMANDO,OHJAIMEN VÄRINÄ,Вибрация на контролера,Valdiklio drebėjimas
GAMEPLAY_TARGETING,CONTROLLER AUTO-AIM,MIRA AUTOMÁTICA NO CONTROLE,AIMBOT PROS NOOB,АВТОПРИЦЕЛ НА ГЕЙМПАДЕ,コントローラー オートエイム,Controller-Zielhilfe,VISEE AUTOMATIQUE POUR MANETTE,Auto-apuntado del mando,Auto-zaměřování ovladače,컨트롤러 자동조준,RICHT AUTOMATISCH MET CONTROLLER,AUTO-MIRA CONTROLLER,控制器 自動瞄準,手柄自动瞄准,Penggunaan Sasaran Otomatis Bagi Controller,Autmatyczne namierzanie w kontrolerze,CONTROLLER-EL VALÓ TELJES AUTOMATA CÉLZÁS,การช่วยการเล็งของจอยสติ็ก,AUTO SIKTE,Controller automatisk sigte,Autoţintire controller,Need Help Aiming with Your Controller?,כיוון שלט אוטומטי,KONTROLL AUTO-SIKTNING,ΑΥΤΟΜΑΤΗ ΣΚΟΠΕΥΣΗ ΧΕΙΡΙΣΤΗΡΙΟΥ,Tay cầm điều khiển - tự động nhắm,KONTROLCÜ OTOMATİK NİŞAN ALMA,التصويب الآلي ليد التحكم,MIRA AUTOMÁTICA DO COMANDO,OHJAIMEN AUTOMAATTITÄHTÄYS,"Самонасочване на стрелба с контролер
",Valdiklio automatinis nuusitaikymas
GAMEPLAY_TARGETING_ASSIST,ASSIST,AJUDA,AJUDINHA,ПОМОЩЬ,アシスト,Zielassistent,ASSISTE,Asistencia,Asistování,어시스트,HULP,AIUTO MIRA,輔助,辅助,Bantuan,Asysty,RÁSEGÍT,สนับสนุน,ASSISTERING,Assistering,Asistenţă,HOW MUCH?!,סיוע,ASSISTANS,ΒΟΗΘΗΤΙΚΗ,Hỗ trợ,ASSİST,إرشاد,AJUDA,AVUSTUS,Асистент,Pagalba
GAMEPLAY_STICKY,CONTROLLER STICKY AIM,AUXÍLIO DE MIRA NO CONTROLE,HAX ,ПРИЛИПАЮЩАЯ ЦЕЛЬ НА ГЕЙМПАДЕ,コントローラー はりつくエイム,Controller mit Zielhilfe,MANETTE AIDE A LA VISEE,Ayuda al apuntar con el mando,Míra podpory v zaměřování,컨트롤러 스티키 조준,KLEVEND RICHTEN MET CONTROLLER,MIRA PRECISA CONTROLLER,控制器 牽引瞄準,控制器 追踪瞄准,Penggunaan Sasaran Lengket bagi Controller,Celowanie i kontrola,"CONTROLLER ""RAGADÓS"" CÉLZÁS",การช่วยการเล็งของก้านควบคุมในจอยสติ็ก,AUTO FOKUS,Controller klistret sigte,Autofocus,Stick Some Glue on Your Controller?,כיוון דביק בשלט,KONTROLL AUTO-FOKUS,ΠΡΟΣΚΟΛΗΣΗ ΣΤΟΧΟΥ ΧΕΙΡΙΣΤΗΡΙΟΥ,Tay cầm điều khiển - nhắm mục tiêu đơn,KONTROLCÜ YAPIŞKAN NİŞAN ALMA,تثبيت التصويب ليد التحكم (عند الإشارة إلى الهدف),MIRA MAGNÉTICA DO COMANDO,OHJAIMEN TARTTUVA TÄHTÄYS,Контролер sticky aim,Valdiklio lipnus nusitaikymas
GAMEPLAY_SHOWAMMO,ALWAYS SHOW AMMO BARS,SEMPRE MOSTRAR MUNIÇÕES,MOSTRAR AS BALA,ВСЕГДА ПОКАЗЫВАТЬ ПАТРОНЫ,だんすうを つねに ひょうじ,Munition immer anzeigen,TOUJOURS AFFICHER LES MUNITIONS,Siempre mostrar las barras de munición,Vždy zobrazit stav munice,항상 탄약상태창 활성,TOON ALTIJD MUNITIEBALKEN,MOSTRA SEMPRE BARRE MUNIZIONI,永遠顯示 子彈數量,始终显示弹药数量条,Selalu Tampilkan Jumlah Amunisi,Zawsze pokazuj ilość amunicji,LŐSZER SÁV FOLYTONOS MUTATÁSA,แสดงแถบแสดงผลของจำนวนกระสุนเสมอ,VIS ALLTID AMMUNISJON,Altid vis ammutionsbarer,Arată întodeauna bările de muniţie,Do ye need the ammo always?,תמיד תראה כמות תחמושת,VISA ALLTID AMMONUTION,ΣΥΝΕΧΗ ΕΜΦΑΝΙΣΗ ΜΠΑΡΑΣ ΠΥΡΟΜΑΧΙΚΩΝ,Luôn luôn hiển thị số lượng đạn,CEPHANE GÖSTERGELERİNİ HEP GÖSTER,عرض مقدار الذخيرة باستمرار,SEMPRE MOSTRAR BARRAS DE MUNIÇÃO,NÄYTÄ AMMUKSET AINA,Винаги показвай амонициите,Visada rodyti šovinų kiekį
GAMEPLAY_ALLOWFREEZE,FREEZE GAME ON KILL,CONGELAR NAS MORTES,TRAVADINHA GOSTOSA,ЗАМИРАНИЕ ИГРЫ ПРИ УБИЙСТВЕ,キルしたらいちじていし,Bei Kill - Spiel kurz einfrieren,FREEZE LORS DE LA MORT,Congelar el juego con cada baja,Zpomalit hru při zabití,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,死亡时暂停游戏,FREEZE GAME ON KILL,Zatrzymaj grę przy zabójstwie,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,Frøs spil ved drab,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,ΠΑΓΩΜΑ ΠΑΙΧΝΙΔΙΟΥ ΣΕ ΕΞΟΛΟΘΡΕΥΣΗ,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,FREEZE GAME ON KILL,MIRŠTANT SUSTABDYTI ŽAIDIMĄ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARSELECT_TITLE,CHARACTER SELECTION,SELEÇÃO DE PERSONAGEM,ESCOLHE UM BONECO,ВЫБОР ПЕРСОНАЖА,キャラクターせんたく,Charakterauswahl,SELECTION DU PERSONNAGE,Selección de personaje,Výběr postavy,캐릭터 선택,PERSONAGESELECTIE,SELEZIONA PERSONAGGIO,角色選擇,角色选择,Pemilihan Karakter,Wybór postaci,KARAKTER VÁLASZTÁS,เลือกตัวละคร,KARAKTER LISTE,Vælg karakter,Selectare caracter,Choose the Captain!,בחירת שחקן,VAL AV KARRAKTÄR,ΕΠΙΛΟΓΗ ΧΑΡΑΚΤΗΡΩΝ,Lựa chọn Nhân Vật,KARAKTER SEÇİMİ,إختيار الشخصية,SELEÇÃO DE PERSONAGEM,HAHMON VALINTA,Избери антораж,Pasirink herojų
CHARSELECT_INPUTMETHOD,INPUT METHOD,TIPO DE CONTROLE,COMO MEXE,ВЫБОР УПРАВЛЕНИЯ,にゅうりょく ほうほう,Eingabemethode,CONTROLE,Tipo de control,Způsob ovládání,입력 함수,INPUTMETHODE,METODO DI INPUT,控制方式,输入方式,Metode input,Sposób wyboru,BEVITELI MÓD,ประเภทของอุปกรณ์ควบคุม,INPUT METODE,,Metodă introducere,How will ye choose?,שיטת קלט,INMATNINGSMETOD,ΜΕΘΟΔΟΣ ΕΙΣΑΓΩΓΗΣ,Phương Thức lựa chọn,GİRDİ YÖNTEMİ,وسيلة الإدخال,MÉTODO DE ENTRADA,OHJAUSTAPA,"Метод
",Įvedimo metodas
CHARSELECT_PLAYER1,PLAYER 1,JOGADOR 1,PARSA 1,ИГРОК 1,プレイヤー 1,Spieler 1,JOUEUR 1,Jugador 1,Hráč 1,플레이어 1,SPELER 1,GIOCATORE 1,玩家1,玩家1,Pemain 1,Gracz 1,1.JÁTÉKOS,ผู้เล่นที่1,SPILLER 1,Spiller 1,Jucător 1,Captain,שחקן 1,SPELARE 1,ΠΑΙΧΤΗΣ 1,Người chơi 1,OYUNCU 1,اللاعب ١,JOGADOR 1,PELAAJA 1,Играч 1,Pirmas žaidėjas
CHARSELECT_PLAYER2,PLAYER 2,JOGADOR 2,PARSA 2,ИГРОК 2,プレイヤー 2,Spieler 2,JOUEUR 2,Jugador 2,Hráč 2,플레이어 2,SPELER 2,GIOCATORE 2,玩家2,玩家2,Pemain 2,Gracz 2,2.JÁTÉKOS,ผู้เล่นที่2,SPILLER 2,Spiller 2,Jucător 2,First Mate,שחקן 2,SPELARE 2,ΠΑΙΧΤΗΣ 2,Người chơi 2,OYUNCU 2,اللاعب ٢,JOGADOR 2,PELAAJA 2,Играч 2,Antras žaidėjas
CHARSELECT_HEALTH,HEALTH,VIDA,SANGUE,ЗДОРОВЬЕ,たいりょく,Gesundheit,VIE,Vida,Zdraví,체력,GEZONDHEID,VITA,體力,血量,Nyawa,Życie,ÉLETERŐ,พลังชีวิต,HELSE,Liv,Viaţă,Vigor,חיים,HÄLSA,ΥΓΕΙΑ,Sinh Lực,CAN,الصحة,VIDA,TERVEYS,Живот,Sveikata
CHARSELECT_SHIELD,SHIELD,ESCUDO,ARMADURA,ЩИТ,シールド,Schild,BOUCLIER,Escudo,Štít,실드,SCHILD,SCUDO,護甲,护盾,Perisai,Tarcza,PÁNCÉL,เกราะ,SKJOLD,Skjold,Scut,Dodge,מגן,SKÖLD,ΑΣΠΙΔΑ,Áo Giáp,KALKAN,الحماية,ESCUDO,KILPI,Щит,Skydas
CHARSELECT_MELEE,MELEE,CORPO-A-CORPO,NO TAPA,БЛИЖНИЙ БОЙ,かくとう,Nahkampf,CORPS A CORPS,Cuerpo a cuerpo,Rvaní,근접,MELEE,MISCHIA,近身攻擊,近身攻击,Serangan jarak dekat,Atak wręcz,VEREKEDÉS,การต่อสู้ระยะประชิด,NÆRKAMP,Hånd til hånd,Corp la corp,Sword,תקיפה מקרוב,NÄRKAMP,ΜΑΧΗ ΕΞ' ΕΠΑΦΗΣ,Cận Chiến,YAKIN SALDIRI,اللكم,CORPO-A-CORPO,LÄHITAISTELU,"Близка атака",Artima kova
CHARSELECT_STAMINA,STAMINA,STAMINA,FOLEGO,ВЫНОСЛИВОСТЬ,スタミナ,Ausdauer,ENDURANCE,Energía,Výdrž,스태미나,STAMINA,STAMINA,耐力,耐力,Stamina,Wytrzymałość,ÁLLÓKÉPESSÉG,ความอดทน,STAMINA,,Rezistenţă,Exhaustion,מדד עייפות,STAMINA,ΑΝΤΟΧΗ,Thể Lực,NEFES SEVİYESİ,التحمل,STAMINA,KESTÄVYYS,"Издражливост",Ištvermė
CHARSELECT_SPEED,SPEED,VELOCIDADE,GÁS,СКОРОСТЬ,スピード,Geschwindigkeit,VITESSE,Velocidad,Rychlost,속도,SNELHEID,VELOCITÀ,速度,速度,Kecepatan,Szybkość,SEBESSÉG,ความเร็ว,FART,Fart,Viteză,Agility,מהירות,HASTIGHET,ΤΑΧΥΤΗΤΑ,Tốc Độ,HIZ,السرعة,VELOCIDADE,NOPEUS,Скорост,Greitis
CHARSELECT_DESC_JIMMY,ALL-AROUND CHARACTER. SKILLED WITH ALL WEAPON TYPES.,PERSONAGEM EQUILIBRADO. USA TODAS AS ARMAS.,"KRINHA +- EM TUDO. BEM FERA, SABE USA QQ CANHÃO",МАСТЕР НА ВСЕ РУКИ. ВЛАДЕЕТ ЛЮБЫМ ОРУЖИЕМ.,オールラウンドな キャラクター。 すべてのぶきを あつかえる,Vielseitig talentiert. Kann alle Waffen benutzen.,"Personnage équilibré, compétent avec tout type d'arme",Personaje equilibrado. Hábil con todo tipo de armas.,Univerzální postava. Ovládá všechny typy zbraní,올라운드 캐릭터. 모든 무기에 능숙,ALLES-IN-EEN PERSONAGE. KAN OMGAAN MET ALLE WAPENTYPES.,PERSONAGGIO VERSATILE. ABILE CON TUTTI I TIPI DI ARMI.,全能角色。熟練所有武器類型。,全能角色。精通所有类型的武器。,Karakter yang serba bisa. Terampil dengan semua jenis senjata.,Zbalansowana postać potrafiąca obsługiwać każdy typ broni,KEZDŐ KARAKTER. MINDENFÉLE FEGYVER TÍPUSRA SZAKOSODOTT.,ตัวละครพื้นฐาน เชี่ยวชาญการใช้อาวุธทุกขนิด,JEVNLIG GOD KARAKTER. ERFAREN MED ALLE VÅPEN TYPER.,Gennemsnitlig god karakterer. Erfaren med alle våben typer.,Personaj echilibrat. Priceput cu toate tipurile de arme.,Good Starting Captain.,דמות מקצועית לכל הנשקים,MÅNGSIDIG KARAKTÄR. SKICKLIG MED ALLA VAPEN TYPER,ΙΣΟΡΡΟΠΗΜΕΝΟΣ ΧΑΡΑΚΤΗΡΑΣ. ΙΚΑΝΟΣ ΜΕ ΟΛΟΥΣ ΤΟΥΣ ΤΥΠΟΥΣ ΟΠΛΩΝ.,"Nhân Vật chung, sử dụng tốt bất kì loại vũ khí nào","ELİNDEN HER İŞ GELEN BİR KARAKTER, TÜM SİLAH TÜRLERİNDE YETENEKLİDİR",شخصية جيدة في جميع المجالات. خبير في جميع أنواع الأسلحة.,PERSONAGEM EQUILIBRADO. CONSEGUE USAR TODAS AS ARMAS.,KAIKKEEN SOPEUTUVA HAHMO. TAITAVA KAIKILLA ASETYYPEILLÄ,Обикновен герой. Използващ всякъкъв вид оръжие.,Vidutinis herojus mokantis naudotis visais ginklų tipais
CHARSELECT_DESC_PINKYY,"MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","PERSONAGEM DE COMBATE CORPO-A-CORPO. USA PISTOLAS E ARMAS PESADAS, SUPER ESCUDO AO INVÉS DE GRANADAS",MINA PEDRA 90 Q SAI NA MÃO COM GERAL. USA PISTOLA E ATIRA DE BAZUCA,"МАСТЕР БЛИЖНЕГО БОЯ. ВЛАДЕЕТ ПИСТОЛЕТАМИ И ТЯЖЕЛЫМ ОРУЖИЕМ, СУПЕР ЩИТ ВМЕСТО ГРАНАТ",パワフルな キャラクター。 ピストルと じゅうかきにくわえ グレネードのかわりに スーパーシールドを あつかえる,"NAHKAMPF CHARAKTER. PISTOLEN- UND SCHWERE WAFFENEXPERTE, SUPER SCHILD STATT GRANATEN","Personnage dédié au corps-à-corps. Doué avec les pistolets et les armes lourdes, super bouclier à la place des grenades
","Personaje de Cuerpo a cuerpo. Hábil con pistolas y armas pesadas, utiliza Super Escudo en lugar de Granadas.","Rváč. Schopný i s pistolemi a těžkými zbraněmi, má superštít místo granátů","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES",MELEE CHARACTER. VAARDIG MET PISTOLEN EN ZWARE WAPENS. SUPER SCHILD IN PLAATS VAN GRANATEN.,"MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES",近戰角色，擅長手槍以及重型武器。無法使用手榴彈，取而代之的是超級護盾。,近战角色。精通手枪和重型武器和超级护盾，但不精通手榴弹。,"MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","Postać walcząca wręcz. Umiejętnie używa pistoletów i broni ciężkiej, super tarcza zamiast granatów.","MELEE KARAKTERE. PITOLYAL ÉS GYORS FEGYVEREKKEL ERŐS, SUPER SHIELDJE VAN GRÁNÁTOK HELYETT","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","Jucător de luptă corp la corp. Priceput cu pistoale si arme de calibru mare, super scut în loc de grănezi","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","שחקן עם התקפה קרובה. מיומנת עם אקדחים ונשקים כבדים, מגן סופר במקום רמונים","NÄRSTRIDS KARAKTÄR. SKICKLIG MED PISTOLER OCH TUNGA VAPEN, HAR SUPERSKÖLD ISTÄLLET FÖR GRANATER","ΧΑΡΑΚΤΗΡΑΣ ΓΙΑ ΜΑΧΗ ΕΞ' ΕΠΑΦΗΣ. ΙΚΑΝΟΣ ΜΕ ΠΙΣΤΟΛΙΑ ΚΑΙ ΒΑΡΙΑ ΟΠΛΑ, ΣΟΥΠΕΡ-ΑΣΠΙΔΑ ΑΝΤΙ ΓΙΑ ΧΕΙΡΟΒΟΜΒΙΔΕΣ","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","شخصية عراك يدوي. خبير في المسدسات والأسلحة الثقيلة, ويملك درع خارق بدل القنابل ","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","MELEE CHARACTER. SKILLED WITH PISTOLS AND HEAVY WEAPONS, SUPER SHIELD INSTEAD OF GRENADES","БЛИЗКОБОЕН ГЕРОЙ. НАЙ-ДОБРЕ СПРАВЯЩ СЕ С ПИСТОЛЕТИ И ТЕЖКИ ОРЪЖИЯ, СУПЕР ЩИТ ВМЕСТО ГРАНАТИ
","Artimos kovos herojus, pistoletų ir sunkiujų ginklų specialistas, stiprus skydas vietoj granatų"
CHARSELECT_DESC_RAFF,KEYTAR GUN FIRES THROUGH WALLS. SKILLED WITH SMALL ARMS ONLY.,TECLADO ATIRA ATRAVÉS DE PAREDES. USA APENAS ARMAS LEVES.,"ARMINHA PALHA ATRAVESSA PAREDE. FRANGUINHO, SÓ BOM C ARMA PEQUENA KKK",СИНТЕЗАТОР СТРЕЛЯЕТ ЧЕРЕЗ СТЕНЫ.ХОРОШО УПРАВЛЯЕТЬСЯ ТОЛЬКО С НЕБОЛЬШИМ ОРУЖИЕМ.,キーターガンは かべを かんつうする。 こがたのぶきだけ あつかえる,Keytar schießt durch Wände. Kann nur kleine Waffen benutzen.,L'arme KEYTAR tire à travers les murs. Doué avec les armes légères uniquement,Su pistola Keytar atraviesa paredes. Hábil solo con armas pequeñas.,"Keytar umí střílet skrz zdi, umí používat pouze malé zbraně","벽을 뚫는 기타건, 그리고 소화기만 숙련되어있습니다.",KEYTAR-PISTOOL SCHIET DOOR MUREN HEEN. IS ALLEEN HANDIG MET KLEINE WAPENS.,IL FUCILE KEYTAR SPARA ATTRAVERSO I MURI. ABILE SOLTANTO CON ARMI PICCOLE.,鍵盤吉他槍可以穿透牆壁。只熟練小型武器。,用键盘吉他枪时可以穿墙开火。只精通小型武器。,Senapan Keytar yang dapat menembus tembok. Terampil hanya dengan senjata ringan.,Może strzelać przez ściany. Walczy przy pomocy lekkiego uzbrojenia.,A BILLENTYŰ-GITÁR LÖVEDÉKE ÁTHALAD A FALAKON. KÖNNYŰFEGYVEREKRE SZAKOSODOTT.,สิงห์ปืนกีตาร์ เชี่ยวชาญปืนขนาดเล็ก,KAN SKYTE GJENNOM VEGGER MED KEYTAR GEVÆRET. ERFAREN KUN MED SMÅ VÅPEN,Kan skyde gennem vægge med keytaren. Erfaren kun med små våben.,Arma Keytar penetrează pereţii. Priceput doar cu armele de calibru mic.,Music So Bad It Kills Through Walls. Good With Smaller Guns.,יורה דרך קירות עם גיטרת הקלידים שלו. טוב עם נשקים קטנים,KEYTAR-GEVÄR SKJUTER GENOM VÄGGAR. ENDAST SKICKLIG MED SMÅ VAPEN.,ΤΟ ΚΙΤΑΡ ΠΥΡΟΒΟΛΑΕΙ ΜΕΣΑ ΑΠΟ ΤΟΙΧΟΥΣ. ΙΚΑΝΟΣ ΜΟΝΟ ΜΕ ΜΙΚΡΑ ΟΠΛΑ.,"Nhân Vật Anh Hùng Đàn Phím, sở hữu loại súng đặc biệt có thể bắn xuyên tương, chỉ sử dụng tốt súng tầm nhỏ",KEYTAR SİLAHI DUVARLARDAN GEÇEBİLİR. SADECE KÜÇÜK SİLAHLARDA YETENEKLİDİR,بندقية العازف تطلق النار خلال الجدران. خبير في الأسلحة الصغيرة فقط.,ATIRA ATRAVÉS DE PARADES. APENAS CONSEGUE USAR ARMAS LEVES.,KEYTARASE AMPUU SEINIEN LÄPI. TAITAVA VAIN PIENILLÄ ASEILLA,"ПУШКАТА НА КЕЙТАР СТРЕЛЯ ПРЕЗ СТЕНИ. ИЗПОЛЗВА САМО(НАЙ-ДОБРЕ) МАЛКИ ОРЪЖИЯ.
","KEYTAR ginklas šauna kiaurai sienas, mažų ginklų specialistas "
CHARSELECT_DESC_BIU,DOUBLE GRENADE PICKUP. NOT SKILLED WITH ANY WEAPON.,PEGA GRANADAS EM DOBRO. NÃO SABE USAR NENHUMA ARMA.,PEGA '+ BOMBA. RECALQUE DOS MONSTRO BATE E VOLTA,НОСИТ ДВЕ СВЯЗКИ ГРАНАТ. ПЛОХО ОБРАЩАЕТСЯ С ОРУЖИЕМ.,グレネードを 2つなげる。 どのぶきも あつかえない,Kann die doppelte Menge an Granaten tragen. Benutzt keine Waffe.,Ramasse deux fois plus de grenades. N'est doué avec aucune arme,Obtiene el doble de granadas. No es hábil con ningún tipo de arma.,"Dvojitá nálož granátů, neumí používat žádné zbraně",그레네이드를 두배 더 많이. 어떤 무기에도 숙련되지 않았습니다.,PAKT DUBBELE GRANATEN OP. KAN GEEN WAPEN BETER DAN DE REST GEBRUIKEN.,RACCOGLIE DOPPIE GRANATE. NON ABILE CON ALCUNA ARMA.,可取得兩倍手榴彈。任何武器都不熟練。,可获得两倍的手榴弹。不精通任何武器。,Dua kali lipat pengambilan granat. Tidak terampil menggunakan semua senjata.,"Postać nie potrafiąca obsługiwać żadnej broni głównej, ale może używać podwójnych granatów.",DUPLA GRÁNÁT FELVÉTEL. NINCS SEMMILYEN FEGYVERRE SZAKOSODVA.,สามารถถือระเบิดสองมือได้ ไม่สันทัดอาวุธปืนทุกประเภท,PLUKKER OPP DOBBELT ANTALL GRANATER. IKKE ERFAREN MED NOEN VÅPEN.,Dobbelt så mange grenader ved opsamling. Uerfaren med alle våben.,Aduna numar dublu de grenade. Nepriceput cu alte arme.,"Double the Grenades, but No Skills Elsewhere.",הוא לוקח פי שניים מהרימונים. לא מיומן עם שום נשק.,DUBBEL GRANAT UPP-PLOCKNING. EJ SKICKLIG MED NÅGOT VAPEN.,ΜΑΖΕΥΕΙ ΔΙΠΛΕΣ ΧΕΙΡΟΒΟΜΒΙΔΕΣ. ΜΗ ΙΚΑΝΟΣ ΜΕ ΟΠΟΙΟΔΗΠΟΤΕ ΟΠΛΟ.,"Số Lựu Đạn nhặt vào được nhân đôi, không sử dụng tốt bất kì loại súng nào",ÇİFT EL BOMBASI ALABİLİR. HERHANGİ BİR SİLAHDA YETENEKLİ DEĞİLDİR,يلتقط ضعف القنابل. ليس خبيرًا في أي سلاح.,APANHA O DOBRO DAS GRANADAS. NÃO CONSEGUE USAR NENHUMA ARMA.,TUPLAANTUNUT KRANAATTIEN POIMINTA. EI TAITAVA MINKÄÄN ASEIDEN KANSSA.,ДВОЙНО ВЗЕМАНЕ НА ГРАНАТЙ. НИКАКАВИ ПУШКИ.,"Dvigubai daugiau granatų talpos, žino kaip naudotis ginklais"
